Date,y
8/1/2001,84.67
9/1/2001,93.99
10/1/2001,104.99
11/1/2001,102.82
12/1/2001,99.52
1/1/2002,89.95
2/1/2002,79.81
3/1/2002,75.03
4/1/2002,67.06
5/1/2002,58.02
6/1/2002,81.77
7/1/2002,93.15
8/1/2002,93.24
9/1/2002,99.55
10/1/2002,98.86
11/1/2002,94.83
12/1/2002,90.56
1/1/2003,81.2
2/1/2003,73.51
3/1/2003,71.63
4/1/2003,70.73
5/1/2003,78.01
6/1/2003,92.5
7/1/2003,93.75
8/1/2003,102.25
9/1/2003,107.56
10/1/2003,109.81
11/1/2003,106.98
12/1/2003,100.18
1/1/2004,94.24
2/1/2004,90.68
3/1/2004,79.55
4/1/2004,71.98
5/1/2004,63.53
6/1/2004,61.54
7/1/2004,62.69
8/1/2004,88.2
9/1/2004,90.8
10/1/2004,102.05
11/1/2004,100.43
12/1/2004,94.61
1/1/2005,84.56
2/1/2005,74.95
3/1/2005,70.16
4/1/2005,64.7
5/1/2005,53.75
6/1/2005,73.64
7/1/2005,97.14
8/1/2005,106.12
9/1/2005,115.71
10/1/2005,115.26
11/1/2005,106.24
12/1/2005,100.97
1/1/2006,94.35
2/1/2006,91.16
3/1/2006,80.56
4/1/2006,67.48
5/1/2006,58.19
6/1/2006,67.62
7/1/2006,89.42
8/1/2006,87
9/1/2006,95.12
10/1/2006,91.75
11/1/2006,91.33
12/1/2006,85.81
1/1/2007,79.94
2/1/2007,75.47
3/1/2007,68.04
4/1/2007,70.12
5/1/2007,70.08
6/1/2007,79.28
7/1/2007,82.24
8/1/2007,84.96
9/1/2007,78.42
10/1/2007,84.63
11/1/2007,81.75
12/1/2007,77.51
1/1/2008,72.45
2/1/2008,68.05
3/1/2008,64.6
4/1/2008,69.36
5/1/2008,63.11
6/1/2008,70.15
7/1/2008,89.86
8/1/2008,100.64
9/1/2008,113.06
10/1/2008,119.71
11/1/2008,112.16
12/1/2008,106.99
1/1/2009,95.63
2/1/2009,81.77
3/1/2009,71.28
4/1/2009,57.11
5/1/2009,47.42
6/1/2009,84.64
7/1/2009,89.97
8/1/2009,94.07
9/1/2009,103.61
10/1/2009,99.62
11/1/2009,93.37
12/1/2009,90.39
1/1/2010,80.41
2/1/2010,75.35
3/1/2010,72.52
4/1/2010,73.96
5/1/2010,76.81
6/1/2010,85.43
7/1/2010,91.59
8/1/2010,97.51
9/1/2010,103.13
10/1/2010,102.67
11/1/2010,97.09
12/1/2010,88.43
1/1/2011,81.12
2/1/2011,74.98
3/1/2011,63.4
4/1/2011,44.75
5/1/2011,18.47
6/1/2011,23.77
7/1/2011,73.57
8/1/2011,77.48
9/1/2011,85.17
10/1/2011,90.25
11/1/2011,96.54
12/1/2011,96.46
1/1/2012,86.11
2/1/2012,76.73
3/1/2012,68.6
4/1/2012,61.32
5/1/2012,72.05
6/1/2012,87.1
7/1/2012,96.72
8/1/2012,97.78
9/1/2012,105.01
10/1/2012,113.4
11/1/2012,105.22
12/1/2012,100.88
1/1/2013,94.13
2/1/2013,83.45
3/1/2013,74.55
4/1/2013,69.13
5/1/2013,79.8
6/1/2013,94.97
7/1/2013,104.31
8/1/2013,101.58
9/1/2013,107.77
10/1/2013,106.6
11/1/2013,99.81
12/1/2013,99.29
1/1/2014,89.36
2/1/2014,82.6
3/1/2014,73.92
4/1/2014,70.2
5/1/2014,63.18
6/1/2014,72.18
7/1/2014,77.58
8/1/2014,87.87
9/1/2014,92.44
10/1/2014,94.35
11/1/2014,93.71
12/1/2014,88.76
1/1/2015,80.52
2/1/2015,72.83
3/1/2015,67.75
4/1/2015,59.77
5/1/2015,65.05
6/1/2015,63.41
7/1/2015,68.78
8/1/2015,70.73
9/1/2015,75.82
10/1/2015,83.15
11/1/2015,91.13
12/1/2015,97.83
1/1/2016,102.04
2/1/2016,105.59
3/1/2016,101.54
4/1/2016,97.24
5/1/2016,97.28
6/1/2016,93.67
7/1/2016,94.47
8/1/2016,96.42
9/1/2016,106.98
10/1/2016,107.75
11/1/2016,102.95
12/1/2016,95.54
1/1/2017,84.58
2/1/2017,75.63
3/1/2017,67.25
4/1/2017,59.43
5/1/2017,57.41
6/1/2017,73.53
7/1/2017,97.87
8/1/2017,111.27
9/1/2017,126.11
10/1/2017,132.98
11/1/2017,130.55
12/1/2017,119.46
1/1/2018,108.45
2/1/2018,99.18
3/1/2018,87.67
4/1/2018,74.58
5/1/2018,70.78
6/1/2018,96.58
7/1/2018,106.38
8/1/2018,107.25
9/1/2018,117.69
10/1/2018,110.37
11/1/2018,99.58
12/1/2018,89.27
1/1/2019,81.15
2/1/2019,79.19
3/1/2019,73.42
4/1/2019,67.11
5/1/2019,66.06
6/1/2019,72.94
7/1/2019,88.38
8/1/2019,101.1
9/1/2019,102.82
10/1/2019,101.32
11/1/2019,98.11
12/1/2019,91.97
